Epoch,Mean Loss,Train Top1 Acc,Test Accuracy,Epoch Time
0,0.07785606636087547,0.9211,0.9211,102.1979225
1,0.03347051737088516,0.948,0.948,101.1851984
2,0.02722314714290802,0.9492,0.9492,106.7957322
3,0.02497417509105604,0.9578,0.9578,99.3616744
4,0.022185655010608134,0.9652,0.9652,102.0706772
5,0.01990236087715456,0.9553,0.9553,85.1599449
6,0.017586549673388355,0.9596,0.9596,89.6468058
7,0.01820772943656309,0.9608,0.9608,90.4810944
8,0.01836856274084316,0.9668,0.9668,110.5490921
9,0.01594545227868297,0.9655,0.9655,127.6629058
